sample_id,tokenizer_exact,active_tokens,raw_word_count,text_truncated_to_50,video_duration_seconds,audio_coverage_fraction,ctc_word_count,ctc_mean_confidence,transcript_similarity,status,warning_reasons,frame_extracted,failure
01,True,24,21,False,9.0,0.9984583333333333,21,0.9055919278235662,0.9523809523809523,自动CTC定位_需人工回听,,True,
02,True,21,13,False,3.493,0.9528700257658174,13,0.9932679396409255,1.0,自动CTC定位_需人工回听,,True,
03,True,35,25,False,9.664,0.9916701158940397,25,0.9091318893432617,0.9294605809128631,自动CTC定位_需人工回听,,True,
04,True,28,20,False,6.9940625,0.9790447254367544,20,0.9421691000461578,0.9590643274853801,自动CTC定位_需人工回听,,True,
05,True,17,11,False,6.1,0.9859016393442623,11,0.7630421871488745,0.8979591836734694,自动CTC定位_需人工回听,,True,
06,True,37,31,False,8.3050625,0.9822999525891587,31,0.6671483414773378,0.8744939271255061,自动CTC定位_需人工回听,,True,
07,True,50,51,True,21.348,0.9961383970395353,51,0.8653499114454961,0.4804270462633452,自动定位质量警示_需人工回听,low_transcript_similarity,True,
08,True,13,10,False,5.0860625,0.9650761271612373,10,0.9674973070621491,0.9814814814814815,自动CTC定位_需人工回听,,True,
09,True,20,14,False,5.042,0.984591927806426,14,0.7996678447400752,0.8761904761904762,自动CTC定位_需人工回听,,True,
10,True,32,25,False,9.94,0.9834569919517102,25,0.8114734061807394,0.9004739336492891,自动CTC定位_需人工回听,,True,
11,True,16,14,False,5.804,0.9922467263955892,14,0.6837888796414647,0.8913043478260869,自动CTC定位_需人工回听,,True,
12,True,44,35,False,13.014,0.9892855770708467,35,0.9013946235179902,0.9757785467128027,自动CTC定位_需人工回听,,True,
13,True,32,27,False,8.68425,1.0,27,0.6684401680335954,0.8258706467661692,自动CTC定位_需人工回听,,True,
14,True,37,25,False,10.351,0.9879601004733842,25,0.7889511489662983,0.9212598425196851,自动CTC定位_需人工回听,,True,
15,True,23,17,False,7.333375,0.9974005829512332,17,0.0031191146578300826,0.23255813953488372,自动定位质量警示_需人工回听,low_ctc_confidence+low_transcript_similarity,True,
16,True,13,8,False,3.114,0.9774205202312138,8,0.6548928907141089,0.8059701492537313,自动CTC定位_需人工回听,,True,
17,True,26,22,False,9.667,0.9892805420502742,22,0.9116902859373526,0.944954128440367,自动CTC定位_需人工回听,,True,
18,True,50,44,True,18.8080625,0.9908815700713457,44,0.8411770392293957,0.34324942791762014,自动定位质量警示_需人工回听,low_transcript_similarity,True,
19,True,41,33,False,13.683,0.9947242929182197,33,0.9609523487813545,0.9826589595375722,自动CTC定位_需人工回听,,True,
20,True,45,35,False,10.953,0.9869328037980462,35,0.8219651872580082,0.8491228070175438,自动CTC定位_需人工回听,,True,
