sample_id,modality,start_position,end_position_exclusive,direction,delta_predicted_class_probability,delta_strength,raw_zero_fraction,mean_absolute_effect,normalized_share,text_excerpt,char_start,char_end_exclusive,time_start_seconds,time_end_seconds,location_status,source_video_file,video_frame_path,video_frame_timestamp_seconds,video_frame_index_zero_based
01,text,11,14,support,0.1845141351222992,0.10632425546646118,0.0,0.05209162384271622,0.7290776434252105,essential to ensuring,66,87,3.78246875,5.02246875,自动CTC定位_需人工回听,01.mp4,,,
01,audio,7,10,support,0.03580370545387268,0.045000314712524414,0.0,0.014658331871032715,0.20515893475206995,the timing belt,47,62,2.62246875,3.22246875,自动CTC定位_需人工回听,01.mp4,,,
01,vision,3,6,counter,-0.02255558967590332,-0.033766210079193115,0.0,0.004698708653450012,0.06576342182271949,wear components when,16,36,1.22246875,2.10246875,自动CTC定位_需人工回听,01.mp4,results/frames/01_vision.png,1.6666666666666667,50
02,text,10,13,counter,-0.07492023706436157,-0.03949480503797531,0.0,0.03429263654877158,0.9094310085863996,happiness - not,32,47,1.44246875,1.92246875,自动CTC定位_需人工回听,02.mp4,,,
02,audio,3,6,counter,-0.009835749864578247,-0.04249148070812225,0.0,0.002836853265762329,0.07523254512742543,to live by,8,18,0.74246875,1.04246875,自动CTC定位_需人工回听,02.mp4,,,
02,vision,1,4,counter,-0.0018832385540008545,0.00010057911276817322,0.0,0.0005783035474665024,0.015336446286174917,We want to,0,10,0.48246875,0.78246875,自动CTC定位_需人工回听,02.mp4,results/frames/02_vision.png,0.6333333333333333,19
03,text,5,8,support,0.07619515061378479,0.12277962267398834,0.0,0.03041747404683021,0.8742614892347143,lender at,12,21,1.04246875,1.60246875,自动CTC定位_需人工回听,03.mp4,,,
03,audio,21,24,support,0.009507954120635986,-0.00385303795337677,0.0,0.002885773297279112,0.08294312856448119,take rental income,74,92,4.80246875,5.78246875,自动CTC定位_需人工回听,03.mp4,,,
03,vision,20,23,counter,-0.004531502723693848,0.011166848242282867,0.0,0.0014889451765245007,0.04279538220080464,t take rental,72,85,4.52246875,5.38246875,自动CTC定位_需人工回听,03.mp4,results/frames/03_vision.png,4.966666666666667,149
04,text,12,15,support,0.18249350786209106,0.15346288681030273,0.0,0.07216390470663707,0.902868332787704,kiss my chances,44,59,2.4824687500000002,3.24246875,自动CTC定位_需人工回听,04.mp4,,,
