id,word_index,word,start_s,end_s,alignment_valid,alignment_score,review_required,audio_valid,vision_valid,manual_start_s,manual_end_s,review_note
-3g5yACwYnA$_$13,8,least,3.2624688148498535,3.402468681335449,True,0.039139632135629654,True,True,True,,,
-3g5yACwYnA$_$3,4,of,2.9624688625335693,3.0024688243865967,True,0.09756404906511307,True,True,True,,,
-3g5yACwYnA$_$2,1,Polymer,3.0224688053131104,3.362468719482422,True,0.044688038527965546,True,True,True,,,
-3g5yACwYnA$_$9,21,added,7.442468643188477,7.622468948364258,True,0.009494686499238014,True,True,True,,,
-3g5yACwYnA$_$9,22,products,7.6424689292907715,8.482468605041504,True,0.08761776238679886,True,True,True,,,
-3nNcZdcdvU$_$5,2,result,1.9824687242507935,2.4624688625335693,True,0.06532981246709824,True,True,True,,,
-HwX2H8Z4hY$_$2,0,President,0.002468750113621354,0.3424687385559082,True,0.00023152848007157445,True,True,False,,,
-HwX2H8Z4hY$_$2,1,Ronald,0.36246874928474426,0.6624687314033508,True,0.00011956805974477902,True,True,False,,,
-HwX2H8Z4hY$_$2,2,Reagan,0.7224687337875366,0.8424687385559082,True,3.72699651052244e-05,True,True,False,,,
-HwX2H8Z4hY$_$9,17,that,6.282468795776367,6.362468719482422,True,0.027629926800727844,True,True,False,,,
-HwX2H8Z4hY$_$9,18,the,6.3824687004089355,6.442468643188477,True,0.001681316178292036,True,True,False,,,
-NFrJFQijFE$_$1,0,Structural,0.08246874809265137,0.48246875405311584,True,0.007258712779730558,True,True,False,,,
-NFrJFQijFE$_$1,1,mounts,0.702468752861023,0.9224687218666077,True,0.005075803492218256,True,True,False,,,
-NFrJFQijFE$_$1,2,inside,0.9424687623977661,1.1824687719345093,True,0.0042810761369764805,True,True,False,,,
-NFrJFQijFE$_$1,3,have,1.2824687957763672,1.4624687433242798,True,0.01584375463426113,True,True,False,,,
-NFrJFQijFE$_$1,4,to,1.5024687051773071,1.542468786239624,True,0.0036658989265561104,True,True,False,,,
-NFrJFQijFE$_$1,5,be,1.6824687719345093,1.8024687767028809,True,0.00886500719934702,True,True,False,,,
-NFrJFQijFE$_$1,6,properly,1.8624687194824219,2.0224688053131104,True,0.006812955252826214,True,True,False,,,
-NFrJFQijFE$_$1,7,stress,2.042468786239624,2.5824687480926514,True,0.008300619199872017,True,True,False,,,
-NFrJFQijFE$_$1,8,analyzed,2.722468852996826,2.922468662261963,True,0.0045819832012057304,True,True,False,,,
-NFrJFQijFE$_$1,9,so,2.9424686431884766,3.0024688243865967,True,0.0033478892873972654,True,True,False,,,
-NFrJFQijFE$_$1,10,we,3.0224688053131104,3.0624687671661377,True,0.0055655427277088165,True,True,False,,,
-NFrJFQijFE$_$1,11,make,3.102468729019165,3.1824686527252197,True,0.0035037610214203596,True,True,False,,,
-NFrJFQijFE$_$1,12,sure,3.222468852996826,3.402468681335449,True,0.005609060637652874,True,True,False,,,
-NFrJFQijFE$_$1,13,all,3.4424686431884766,3.5624687671661377,True,0.005028281826525927,True,True,False,,,
-NFrJFQijFE$_$1,14,that,3.6424686908721924,3.722468852996826,True,0.009302167221903801,True,True,False,,,
-NFrJFQijFE$_$1,15,happens,3.802468776702881,3.982468843460083,True,0.006080117542296648,True,True,False,,,
-NFrJFQijFE$_$2,0,So,0.6624687314033508,1.8024687767028809,True,0.00021334447956178337,True,True,False,,,
-NFrJFQijFE$_$2,1,we,1.9424687623977661,1.9824687242507935,True,0.0006246674456633627,True,True,False,,,
-NFrJFQijFE$_$2,2,coordinate,2.1424686908721924,2.402468681335449,True,0.001639489084482193,True,True,False,,,
-NFrJFQijFE$_$2,3,with,2.422468662261963,2.5024688243865967,True,0.00244515179656446,True,True,False,,,
-NFrJFQijFE$_$2,4,all,2.5224688053131104,2.602468729019165,True,0.0011638437863439322,True,True,False,,,
-NFrJFQijFE$_$2,5,the,2.6424686908721924,2.74246883392334,True,0.041034262627363205,True,True,False,,,
-NFrJFQijFE$_$2,6,proper,2.7624688148498535,2.902468681335449,True,0.0008318808977492154,True,True,False,,,
-NFrJFQijFE$_$2,7,technical,3.0224688053131104,3.782468795776367,True,0.0014849432045593858,True,True,False,,,
-NFrJFQijFE$_$2,8,fields,4.102468967437744,4.282468795776367,True,0.00010655871301423758,True,True,False,,,
-NFrJFQijFE$_$2,9,to,4.3224687576293945,4.362468719482422,True,0.026794761419296265,True,True,False,,,
-NFrJFQijFE$_$2,10,get,4.3824687004089355,4.442468643188477,True,0.00011151729995617643,True,True,False,,,
-NFrJFQijFE$_$2,11,ready,4.46246862411499,4.662468910217285,True,0.0009541942272335291,True,True,False,,,
-NFrJFQijFE$_$2,12,for,4.682468891143799,4.74246883392334,True,0.0006775720394216478,True,True,False,,,
-NFrJFQijFE$_$2,13,the,4.782468795776367,4.842468738555908,True,0.0029867126140743494,True,True,False,,,
-NFrJFQijFE$_$2,14,instrument,4.8824687004089355,5.522468566894531,True,0.0038596289232373238,True,True,False,,,
-NFrJFQijFE$_$2,15,to,6.0824689865112305,6.1424689292907715,True,0.0007109841681085527,True,True,False,,,
-NFrJFQijFE$_$2,16,arrive,6.222468852996826,6.502468585968018,True,0.00966570619493723,True,True,False,,,
-NFrJFQijFE$_$2,17,here,6.5824689865112305,6.722468852996826,True,0.011898532509803772,True,True,False,,,
-THoVjtIkeU$_$12,0,What,0.002468750113621354,1.762468695640564,True,0.057909466326236725,True,True,True,,,
